Genes,E-M-DEAE-E1,E-M-DEAE-E2,E-M-DEAE-FT_G,E-M-DEAE-E1_G,E-TFF1_R,E-TFF1_M
NACA,0.3206,0.3054,0.185,0.3132,0.4474,0.1649
INS-IGF2;INS,152.3811,6.9856,126.475,4.9363,75.3698,75.204
KIF2A,0.3982,0.2746,0.439,0.2695,0.2825,0.2865
PDLIM1,2.1067,1.3095,1.6621,1.2915,3.5604,1.7394
ACOT7,2.2377,1.664,1.7351,1.9484,2.0033,1.8839
MYO1C,1.4354,15.8898,1.8971,14.9469,1.8194,6.7048
MYO1F,2.8471,0.2338,2.2798,0.0292,1.1802,0.6725
SNAP23,0.9746,6.9307,1.0815,7.252,0.4782,2.5835
AIP,0.3321,0.2797,0.5934,0.26,0.4441,0.2629
STXBP3,0.5226,2.9917,0.7067,3.5409,0.7291,1.4864
MASP2,2.203,0.436,1.5977,0.0555,3.1425,0.9052
ARVCF,0.2824,0.2022,0.1937,0.3756,0.2406,0.1306
RAB27B,15.0939,6.3472,16.195,3.7312,5.0291,11.9123
AP3B1,0.6293,1.3917,0.5255,1.2595,0.7028,0.8935
RHOD,0.228,0.082,0.1372,0.0718,0.2328,0.0782
LGALS8,0.3376,0.9857,0.4468,0.9153,0.3489,0.4649
TNFRSF10A,0.528,0.4011,0.5346,0.6201,0.6516,0.699
PSMD11,1.2331,0.9186,1.0982,0.8819,0.9472,0.8781
PSMD12,0.8054,1.2041,1.1995,1.1293,1.1381,1.0381
PSMD9,0.4124,0.2805,0.2766,0.3063,0.4631,0.1371
ATOX1,0.2973,0.3573,0.2784,0.383,0.365,0.27
F2RL2,0.2579,0.0427,0.1926,0.0232,0.2984,0.1515
PGRMC1,0.744,2.9525,0.4484,3.1248,0.6976,1.1696
SUPT5H,0.812,0.5394,0.1893,0.0472,0.287,0.3117
DFFA,0.2506,0.1277,0.2665,0.141,0.3435,0.1462
CLIC1,9.905,14.5292,7.8502,14.7141,6.8563,9.4753
EIF3F,0.6367,0.722,0.6164,0.888,0.6375,0.684
WWP2,0.1612,0.0637,0.1886,0.067,0.2044,0.0634
QSOX1,6.6858,1.0454,6.8747,0.6247,4.5426,3.6175
DCTN6,0.0403,0.1448,0.0978,0.0898,0.3399,0.0629
WASL,0.4197,0.3008,0.3962,0.5514,0.4354,0.3922
IPO5,0.4753,0.9023,0.6606,1.121,1.1045,0.9328
IGF2BP3,0.3741,0.2208,0.2388,0.1825,0.317,0.2738
DNM1L,2.7145,1.3787,2.6693,1.151,2.5485,2.368
RTCA,0.2501,0.5989,0.1725,0.4927,0.2417,0.2884
GOLIM4,0.1621,0.201,0.2194,0.2105,0.5441,0.2362
MANBA,1.3301,0.2619,1.365,0.0123,0.762,0.6258
AGRN,0.5086,1.8433,0.6291,1.5638,3.083,1.9232
PLOD2,2.3569,1.2895,2.5001,1.2427,4.7702,1.8965
EXOC5,0.3021,0.4385,0.2218,0.5453,0.5524,0.3388
BTN3A3,0.3095,0.3026,0.0642,0.2869,0.3384,0.204
BTN3A1,3.1957,0.0837,8.8866,0.107,23.5143,3.9888
PSMD14,1.4658,1.3961,1.3386,1.2814,2.0747,1.3074
BIN1,0.6801,0.0799,0.3648,0.2224,0.5058,0.2446
CLDN5,0.3585,0.1295,0.546,0.1477,0.5748,0.3968
STK25,0.4509,0.8044,0.1392,0.8005,0.694,0.2831
KRIT1,0.0965,0.6232,1.6568,0.5533,0.7132,0.3309
CHL1,3.3182,0.2028,2.951,0.0541,3.1855,1.4886
SDCBP,41.7709,26.0272,40.3823,26.4268,10.282,27.1416
DDX3X,0.8999,1.317,0.6549,1.3626,0.6198,0.8501
PODXL,3.0416,0.5023,1.9824,0.7039,1.1478,0.8264
FCN1,0.2556,0.113,0.4025,0.1226,0.3652,0.137
CCN1,0.3306,0.0273,0.3159,0.0728,0.3148,0.1537
PIR,0.4692,0.1992,0.3775,0.1694,0.4952,0.2394
KPNA4,1.5576,1.7228,1.6579,1.3244,0.9647,1.1611
PPP6C,0.3617,0.132,0.2163,0.1635,0.1955,0.189
PDXK,0.6725,1.2033,0.7515,1.2204,0.8362,1.1133
PLPP1,0.305,0.9504,0.1025,0.8258,0.6612,0.3674
ISLR,2.7048,0.2436,1.5647,0.0868,1.1267,0.985
TXNDC9,0.1862,0.1371,0.1285,0.0844,0.3528,0.1108
DPYSL4,0.5055,0.9352,0.4926,0.9885,0.4397,0.4933
HSPB6,0.3269,0.2266,0.3983,0.4219,0.1674,0.3022
UBFD1,0.5631,0.3021,0.3587,0.4505,0.6427,0.3946
COPE,0.5669,0.5274,0.461,0.6334,0.5687,0.7444
CDC42EP2,0.3522,0.355,0.1589,0.3621,0.3595,0.3164
AP3D1,0.2979,0.4943,0.3831,0.5686,0.3159,0.5016
CCS,0.3564,0.2217,0.2809,0.4,0.2101,0.2816
TOR1A,0.3374,0.2967,0.1891,0.1662,0.5048,0.521
TOR1B,0.4054,0.4406,0.6069,0.2151,0.7059,0.3317
STX16,0.4416,0.1539,0.0658,0.1525,0.3651,0.1156
ADAM10,15.677,7.1804,14.7937,5.7182,3.1789,8.7556
TP53I11,0.8332,0.1255,0.6621,0.0606,0.7612,0.5443
ITGB1BP1,0.3492,0.2512,0.2563,0.2585,0.1082,0.192
APAF1,0.2198,0.1918,0.1981,0.0628,0.2439,0.0423
RIOK3,0.3359,0.1069,0.2947,0.1151,0.0926,0.1366
CDIPT,0.3556,0.5885,0.3205,0.4976,0.4613,0.2466
PRMT5,0.3364,0.3009,0.2735,0.5286,0.5926,0.4152
NHERF1,0.5411,0.9164,0.5753,1.8554,0.584,0.9112
TNFRSF10B,3.3912,14.8787,3.1822,15.6304,9.4315,7.9991
TPP1,1.7482,0.1629,0.6193,0.0992,0.7126,0.5337
GNB5,0.2581,0.0735,0.1715,0.0268,0.3101,0.0564
NRP1,0.4348,12.1573,0.7042,12.6035,3.169,4.329
TNPO2,0.5215,0.2616,0.3559,0.2647,0.4894,0.4316
APOL1,33.9683,6.6528,27.1955,4.8771,36.8456,16.6345
UNC13B,0.426,0.1879,0.4161,0.1287,0.3651,0.1679
MRAS,0.3568,0.4414,0.4866,0.7184,0.4998,0.5178
TSPAN4,2.4475,2.7238,2.0917,1.5841,0.2908,2.3144
PSMA7,2.9116,1.4719,4.428,2.6695,5.284,1.8456
SCAMP3,0.4971,0.8396,0.38,0.6001,0.4734,0.2943
TAX1BP3,0.3403,0.7085,0.4968,1.5087,0.0991,0.5591
GIPC1,0.3974,2.3207,0.384,2.4494,0.671,1.1536
LIN7A,0.4695,1.7484,0.1337,2.1889,0.3064,0.6614
IKBKB,0.2161,0.0866,0.0498,0.0265,0.2235,0.0447
UBE2L6,11.3826,1.0003,12.0599,0.4583,15.8057,6.174
CASK,0.3537,1.6089,0.4924,1.7902,0.4523,0.5222
PLD2,0.27,0.275,0.3391,0.4004,0.5794,0.1936
MYL12B;MYL12A,1.1652,1.2137,1.2414,1.4867,2.5046,1.263
HGS,0.9669,1.4159,0.7572,1.6743,0.2459,0.8544
PPP1R12A,0.3787,0.2999,0.3677,0.4615,0.6455,0.1918
GAK,0.1458,0.0913,0.1576,0.0742,1.2988,0.1625
HNRNPDL,0.2587,0.1418,0.2322,0.2017,0.2737,0.3334
XPO1,3.0666,2.5041,3.5611,2.6512,3.1767,2.8477
ARHGEF10,0.081,0.4587,0.1538,0.3158,0.4672,0.3101
SEC16A,0.6915,0.3042,0.8806,0.336,0.7238,0.4492
PLXNB2,0.5438,5.2043,0.527,5.3796,1.0537,1.9083
U2SURP,0.5158,0.5626,0.6272,1.1156,0.254,0.6532
KIF3B,0.078,0.0356,0.1677,0.055,0.2027,0.0467
PFAS,0.4356,0.2256,0.3831,0.2674,0.3229,0.2516
NPC1,0.5195,0.7437,0.6787,0.5851,0.0864,0.4524
AGPAT2,0.1896,0.0504,0.2408,0.0339,0.3205,0.1334
SCAMP1,0.3,0.4494,0.1537,0.3599,0.3192,0.1973
SCAMP2,0.4682,0.6116,0.3665,0.3196,0.4418,0.2431
ARPC1B,2.7365,2.5965,2.4255,3.2604,2.4859,2.7339
ARPC2,2.8155,4.0092,2.878,4.8106,3.8191,3.7143
ARPC3,5.4377,2.9041,4.793,4.0303,3.361,3.7304
POLR1C,0.0598,0.1359,0.1392,0.0796,0.2514,0.0863
PLSCR1,0.0971,1.6823,0.343,0.7788,0.7204,0.3203
PGRMC2,0.5242,3.5259,0.5999,3.8208,1.1775,1.7055
CTDSPL,0.2112,0.087,0.1804,0.0773,0.2251,0.0378
PFDN6,1.0445,0.3355,0.8789,0.8076,1.4084,0.6677
LAMA5,0.2292,0.2783,0.2678,0.2156,0.5175,0.2128
RER1,0.1902,0.3674,0.2461,0.6206,0.5314,0.2405
SURF4,1.2871,2.379,1.6576,2.9757,0.1033,1.5222
MAPK13,0.493,0.0867,0.2512,0.1525,0.2428,0.1136
SPTLC1,0.373,0.6552,0.8566,0.7751,0.6415,0.4488
SPTLC2,0.3667,0.2526,0.2117,0.2397,0.3719,0.2113
OGT,0.368,0.0832,0.3863,0.1011,0.4027,0.0832
PMM2,1.1333,0.9556,1.2156,0.9903,0.5463,0.8285
INPPL1,0.362,0.1385,0.2803,0.1421,0.3355,0.1306
EIF3D,0.9803,0.3351,2.1348,0.3104,0.0845,0.22
EIF3H,0.3452,0.3361,0.6912,0.5009,0.488,0.3466
BCAT2,0.335,0.2657,0.4922,0.1036,0.1989,0.1431
NCAM2,2.3696,3.7069,0.3681,3.2071,0.9332,1.1925
STX7,1.5495,1.8531,1.4931,2.2404,0.2343,1.1017
SLC16A3,2.1513,32.1702,2.9937,22.4547,2.4951,8.7337
SLC31A1,0.5976,3.7761,0.6895,3.0895,0.328,1.4622
ABCC3,0.4558,0.1947,1.0735,0.2165,0.3592,0.2358
ABCC4,0.3997,0.8589,0.1924,0.9555,0.4958,0.4464
ABCC5,0.0484,0.098,0.0572,0.1064,0.3166,0.05
P4HA2,1.4295,0.3714,1.2359,0.3959,1.6473,0.967
CAPN5,0.289,1.39,0.3981,1.3622,0.4955,0.6144
YKT6,1.8858,7.797,2.446,7.8132,2.1718,3.5053
ARPC5,1.5127,2.038,1.5959,2.9011,1.9707,1.738
PDPK1,0.5823,0.1709,0.23,0.2274,0.2544,0.1146
TAPBP,0.3457,0.6136,0.3244,0.5148,0.3554,0.2862
CLDN3,0.6528,0.1802,0.9398,0.0551,0.88,0.5039
DHX15,0.2871,0.0297,0.2224,0.0733,0.4032,0.2163
ZZEF1,0.2506,0.0162,0.323,0.0153,0.2721,0.22
ASAP2,0.3445,0.1363,0.1881,0.1351,0.3093,0.2042
FLRT2,0.3666,0.1909,0.3001,0.2497,0.3657,0.2065
PLXNB1,0.9495,0.2942,0.6543,0.3555,0.7327,0.4998
SIPA1L1,0.2604,0.0301,0.1576,0.0469,0.5284,0.3112
CYB5B,0.2696,0.606,0.216,0.5043,0.2278,0.2864
PHGDH,1.7993,2.0461,1.915,2.0471,1.2649,1.7665
ARHGAP6,0.2844,0.0711,0.1739,0.0203,0.38,0.0473
ADAM12,0.4125,0.3471,0.2193,0.3266,0.3816,0.2718
GPR39,0.4188,0.6591,0.2469,0.839,0.4756,0.2813
DYNC1LI2,0.2603,0.6625,0.2971,0.905,0.5157,0.4808
PSMD3,0.9429,0.8355,0.9338,0.9964,1.0326,0.9869
PAPSS1,0.2137,0.6528,0.1444,0.5041,0.4623,0.3507
ZW10,0.7964,0.144,0.9203,0.1462,1.2434,0.1373
TGFB1I1,0.9975,0.7554,0.611,0.7715,0.423,0.7179
HSPA12A,0.2136,0.0639,0.2439,0.0931,0.2176,0.0278
ADCY6,0.1845,0.165,0.2398,0.188,0.2113,0.1833
PPIP5K2,0.4634,0.1444,0.2209,0.0891,0.2557,0.1486
EEF1E1,0.2307,0.0982,0.2584,0.0883,0.2371,0.1241
RIPK2,0.2133,0.1439,0.282,0.1432,0.2521,0.1488
HNRNPR,0.2266,0.1061,0.1699,0.1171,0.2618,0.0809
TXNL1,0.084,0.357,0.1879,0.3874,0.4597,0.2767
TPD52L2,0.3007,0.2795,0.1314,0.388,0.2608,0.0974
EMC8,0.3669,0.2671,0.3021,0.2017,0.3991,0.2301
FIBP,0.5255,0.2713,0.2073,0.291,0.4234,0.2048
AKR7A2,4.078,0.7201,3.8169,0.9433,2.2654,2.3946
EPB41L2,0.5486,5.7094,0.2236,6.8442,1.0088,2.2588
B4GAT1,1.6178,0.1897,1.5025,0.0899,0.5937,0.7089
WIPF1,0.287,0.3634,0.3499,0.6906,0.5337,0.2337
ATP8B1,0.2629,0.3463,0.274,0.393,0.372,0.2534
SGCE,0.527,0.9991,0.1635,1.4174,0.7655,0.5392
SYT7,0.1925,0.1505,0.1536,0.0938,0.2922,0.0184
DENR,0.6642,1.0567,0.2736,1.6072,0.3477,0.8096
XPOT,0.5217,0.5819,0.4384,0.5509,0.8745,0.449
SPRY2,0.1917,0.1313,0.1666,0.1194,0.2916,0.0879
DNPH1,0.5193,0.569,0.6503,0.5999,0.737,0.6402
TRAPPC3,0.2683,0.3429,0.2968,0.3711,0.3247,0.3018
CHMP2A,0.4976,1.304,0.6892,2.2053,0.2083,0.9617
NCK2,0.724,0.1624,0.1508,0.1251,0.436,0.0952
TSPAN6,0.3238,0.2929,0.2094,0.0996,0.2835,0.1556
GET3,0.276,0.7754,0.4426,0.9039,0.4195,0.7616
BUB3,0.1511,0.1431,0.199,0.2131,0.2988,0.2889
ACTN4,8.3783,9.3688,10.1856,13.2238,48.3411,9.3652
KDELR3,0.0416,0.3831,0.2239,0.1038,0.3288,0.0558
AP1G1,0.8302,0.7938,0.6287,0.8084,0.541,0.6581
STX6,0.2943,0.2599,0.151,0.3158,0.3622,0.1907
SYNGR2,2.9629,2.8212,1.1902,2.0786,2.0157,1.4329
SYNGR3,1.0885,0.1859,0.8451,0.1075,0.6216,0.4056
SGTA,0.3206,0.1672,0.0587,0.2875,0.2718,0.2495
ENSA,0.392,0.3589,0.2384,0.402,0.4274,0.0962
NARS1,0.6544,1.2075,0.5198,1.5126,0.3596,0.9324
MYO1B,0.8271,5.4084,0.6918,5.8607,1.3303,2.6036
NUDT21,0.5711,0.1036,0.446,0.0287,0.7781,0.2505
LANCL1,1.5543,1.0705,1.1051,1.2023,2.014,1.0935
STRN,0.2751,0.0558,0.1928,0.0423,0.2833,0.1079
IDH3B,0.8639,1.9607,0.8112,0.2496,0.7869,0.0726
NRDC,0.3596,0.5069,0.2712,0.5236,1.2386,0.4339
CALU,0.2539,1.172,0.8034,2.1939,6.6494,1.5129
EDIL3,9.9487,8.7209,3.744,14.9891,4.4776,16.5627
ATP9B,0.3783,0.3682,0.3073,0.3348,0.4041,0.1952
AHCYL1,1.2314,2.8564,1.0795,3.2392,1.3909,1.5018
CD5L,176.3605,8.9816,151.9079,1.255,117.0679,64.673
XPNPEP2,1.5483,0.1906,1.4994,0.0835,0.6321,0.6495
PDE6D,0.1616,0.0368,0.1423,0.0686,0.2083,0.0134
MFSD11,0.6043,0.157,0.0528,0.1127,0.3621,0.1009
ZNRD2,0.4502,0.2316,0.3833,0.19,0.5489,0.3133
GMFG,1.7196,0.4501,2.0378,0.2221,1.6411,1.0914
PCDH7,0.2991,0.3107,0.2291,0.5243,0.3629,0.177
PRPSAP2,0.8661,0.3459,0.7722,0.2415,0.6696,0.3244
ADCY3,0.2868,0.5919,0.1693,0.4426,0.3758,0.0821
SPAG9,0.445,0.2049,0.322,0.2692,0.3818,0.1483
SUSD5,0.3685,0.1879,0.1704,0.1997,0.3116,0.0401
MGRN1,0.1112,0.3008,0.2079,0.3157,0.5996,0.1611
ATP10A,0.3457,0.0798,0.4499,0.1069,0.3731,0.093
OPA1,0.4115,0.1871,0.0877,0.2034,0.156,0.1695
PCDHGA12,0.3165,0.2473,0.2989,0.2288,0.4277,0.185
PIP5K1C,0.7087,0.4103,0.2524,0.4241,0.4838,0.1769
KIF1B,0.2129,0.1199,0.1619,0.105,0.2825,0.0886
TBC1D4,0.3164,0.139,0.2286,0.0789,0.3094,0.0586
FZD6,0.394,0.1961,0.0659,0.2033,0.2898,0.1632
NME2P1;NME2,1.9953,4.7685,2.3474,8.7114,1.2853,2.8725
PPL,0.5745,0.2788,0.88,0.3805,2.3384,0.6908
GSDME,1.3891,0.6508,0.3078,0.6941,0.6405,0.364
EVI5,0.3435,0.2604,0.2824,0.1433,0.2119,0.1739
NRP2,0.2507,1.0005,0.1271,1.3465,0.8218,0.6132
ACSL4,0.4198,1.5531,0.2751,1.5328,1.3879,0.7495
SNX3,0.9966,2.8913,1.0997,3.3572,0.8337,1.8567
DOK2,0.2916,0.0888,0.322,0.0105,0.1959,0.1213
OGA,0.3658,0.1896,0.3289,0.3011,0.3071,0.2156
ADCY9,0.4341,0.5611,0.3832,0.5761,0.6026,0.2614
SORBS3,0.6595,0.1697,0.1769,0.1372,0.2967,0.0642
SYNCRIP,0.5857,0.5333,0.4912,0.789,0.6827,0.5031
NEMF,0.1442,0.137,0.1818,0.0729,0.3019,0.132
GMDS,0.3658,0.1231,0.6663,0.1461,0.4327,0.1768
GREM1,0.4957,0.1502,0.3474,0.0333,0.1097,0.1225
PLOD3,0.389,0.2524,0.4762,0.1496,0.4675,0.3384
DIAPH1,0.9968,0.9713,1.706,0.8853,1.4416,1.3667
EXOC3,0.7692,0.656,0.3525,0.7321,0.4481,0.3482
PDE8A,0.3318,0.2443,0.2305,0.2143,0.2358,0.1055
PLIN3,0.6219,0.993,0.4932,1.4987,0.4249,0.4727
SLC16A7,0.7093,1.5244,0.4018,1.0025,0.7986,0.8587
PRMT3,0.3473,0.0421,0.2707,0.0357,0.3606,0.2227
KPNA6,0.1696,0.4147,0.5824,0.4773,0.3633,0.3344
SRPX2,0.9775,1.1929,0.3538,1.0033,2.8786,1.5251
UGDH,1.4803,1.8757,1.6332,1.9939,1.3495,1.6527
LPXN,1.0538,0.7131,1.1682,0.9495,0.4944,0.9338
CTNND1,0.9593,9.174,1.0726,9.3519,0.8153,3.2628
EIF1B;EIF1,0.0752,0.1505,0.2728,0.3585,0.1565,0.0551
SNX2,0.3474,0.5001,0.1678,0.4662,0.332,0.3073
DPM1,1.2494,0.355,2.2944,0.3857,1.0456,0.3332
USO1,1.1629,1.4981,1.6246,1.3444,2.0371,1.6026
SLC19A2,0.2281,0.3955,0.0969,0.4679,0.1708,0.2663
TOM1,0.6291,0.6991,0.3173,0.8193,0.2724,0.3918
H2BC12;H2BC12L;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13,3.8023,16.0488,6.0639,19.2614,13.897,12.8459
CCDC22,0.1119,0.2157,0.3423,0.2116,0.2128,0.2055
PRAF2,0.3686,0.0621,0.4031,0.1238,0.3696,0.0841
EIF5B,102.3589,13.5928,35.2472,15.1619,76.6055,20.0318
EDF1,0.2775,0.6124,0.3103,1.5408,0.2588,0.4715
DIAPH2,0.3889,0.2127,0.3328,0.1079,0.1203,0.145
DNAJA2,0.4919,1.3103,0.4608,1.3576,0.7532,0.6101
CTSV,0.2418,0.0298,0.1635,0.0112,0.4107,0.2562
PFDN1,1.5593,1.6541,1.5208,3.154,1.8741,1.6573
NOL3,0.4542,0.2133,0.2914,0.2652,0.3573,0.1533
DTNB,0.3538,0.1627,0.2105,0.2588,0.2252,0.1316
FCGR3B,1.7027,0.1071,1.4458,0.0412,0.8184,0.7016
LILRB5,0.3926,0.0344,0.1261,0.0838,0.2549,0.1042
SRGAP2,0.1539,2.0501,0.5563,1.7683,0.4689,1.0451
PLXNA2,0.6144,0.8753,0.5205,0.9152,0.3566,0.4887
WDR1,16.1833,13.859,14.8601,15.1766,14.1151,12.2593
FZD7,0.9367,2.7229,0.9206,4.3091,0.2529,1.6653
ATP9A,0.2994,0.2125,0.2383,0.202,0.2637,0.1401
ROCK2,0.5247,0.4119,0.4957,0.4542,0.6258,0.4496
CPNE3,0.5733,2.8013,1.0068,3.4417,0.7543,1.38
ICOSLG,1.2089,0.9186,0.6438,1.0159,0.2584,0.8049
OBSL1,0.2939,0.0674,0.1678,0.0417,0.29,0.0482
DNAJC13,0.568,0.4275,0.7252,0.4297,0.5529,0.6692
TMEM127,0.3191,0.3179,0.0768,0.2501,0.3528,0.1923
GGCT,0.3903,0.4872,0.4191,0.4124,0.5278,0.2488
RTN2,0.4231,0.5736,0.3944,0.4034,0.2818,0.3391
ZPR1,0.1964,0.1783,1.7918,0.2233,0.4781,0.4244
NIPSNAP2,0.1126,0.1279,0.2748,0.1436,0.1136,0.1566
SEMA7A,0.8097,2.7352,0.9317,2.6749,1.2066,1.0032
PDCD6,2.4295,3.5937,2.3453,5.6417,1.6675,2.1971
ALOX12B,0.2377,0.0746,0.2324,0.045,0.234,0.1117
TBCA,0.4506,0.6135,0.5755,2.1569,0.2666,0.8601
ATP6V1G1,0.2302,0.1431,0.1405,0.2555,0.1702,0.0744
VPS4B,0.8553,1.3455,0.8352,1.3057,0.3573,0.8536
MACROH2A1,5.5265,0.6112,5.1052,0.4815,2.2057,3.3582
SH3BGRL,0.2301,0.2733,0.131,0.6856,0.0643,0.3471
FLNB,1.9351,2.3348,1.6401,2.6948,8.3727,1.7374
TRIM3,0.2439,0.0552,0.148,0.0288,0.3853,0.063
TULP3,0.789,0.1915,0.1535,0.1325,0.3965,0.0977
SLC43A1,0.7485,0.1237,0.3805,0.1382,0.6313,0.0652
CS,2.0085,1.3015,2.7432,1.0708,1.2941,2.1196
SEC22B,1.725,2.6569,1.979,3.2427,1.6333,1.4073
LRCH4,0.3851,0.0687,0.2816,0.1651,0.3352,0.1407
VPS26A,0.5799,1.9589,0.8262,2.3574,1.3582,0.9785
PMPCB,0.3335,0.2057,0.2768,0.1644,0.4831,0.3015
CRLF1,0.2456,0.3109,0.5065,0.3207,0.9453,0.1577
ERLIN1,0.4131,0.4539,0.4844,0.3728,0.5351,0.1944
GPC4,0.1727,0.813,0.3131,0.7082,0.7911,0.5947
HSBP1,0.3335,0.1221,0.2132,0.1234,0.3041,0.0446
CLDN11,0.2067,0.6062,0.0635,0.4442,0.3405,0.1292
BANF1,0.4096,0.5759,0.359,0.5305,0.6763,0.4378
CSDE1,0.635,0.4897,0.6301,0.4932,0.7274,0.393
STX11,0.8888,0.2348,0.7418,0.2348,0.634,0.4382
SKAP2,0.9824,0.1268,0.9252,0.08,0.3927,0.6243
